Patch,no-diff,same-length,content-diff,length-diff,cnt
patch1-Time-4-Cardumen,False,False,False,True,1
patch1-Time-7-Cardumen,True,True,False,True,1
patch1-Time-4-Elixir,False,False,False,True,1
patch1-Time-4-JGenProg2015-plausible,False,False,False,True,1
patch1-Time-4-JGenProg2017,False,False,False,True,1
patch2-Time-4-Arja-plausible,False,False,False,True,1
patch2-Time-4-Cardumen,False,False,False,True,1
patch2-Time-4-JGenProg2017,False,False,False,True,1
patch3-Time-4-Cardumen,False,False,False,True,1
patch3-Time-4-JGenProg2017,False,False,False,True,1
patch4-Time-4-Arja-plausible,False,False,False,True,1
patch4-Time-4-Cardumen,False,False,False,True,1
patch4-Time-4-JGenProg2017,False,False,False,True,1
patch5-Time-4-Arja-plausible,False,False,False,True,1
patch5-Time-4-Cardumen,False,False,False,True,1
patch5-Time-4-JGenProg2017,False,False,False,True,1
patch6-Time-4-Arja-plausible,False,False,False,True,1
patch7-Time-4-Arja-plausible,False,False,False,True,1
patch1-Time-7-SimFix,True,True,False,True,1
patch1-Time-9-Cardumen,False,False,False,True,1
patch1-Time-19-SOFix,True,False,False,False,1
patch1-Time-14-Arja-plausible,True,True,False,False,1
patch1-Time-15-ACS,False,False,False,True,1
patch1-Time-15-Arja,False,False,False,True,1
patch1-Time-15-Elixir,False,False,False,True,1
patch1-Time-17-Cardumen,False,False,False,True,1
patch2-Time-17-Cardumen,False,False,False,True,1
patch3-Time-17-Cardumen,False,False,False,True,1
patch4-Time-17-Cardumen,False,False,False,True,1
patch5-Time-17-Cardumen,False,False,False,True,1
patch1-Time-18-Cardumen,False,False,False,True,1
patch1-Time-11-Arja-plausible,False,False,False,False,1
patch1-Time-11-Cardumen,False,False,False,False,1
patch1-Time-11-Elixir-plausible,False,False,False,False,1
patch1-Time-11-JGenProg2017,False,False,False,False,1
patch1-Time-11-jKali,False,False,False,False,1
patch1-Time-11-jMutRepair,False,False,False,False,1
patch1-Time-11-Nopol2015-plausible,False,False,False,False,1
patch2-Time-11-Arja-plausible,False,False,False,False,1
patch2-Time-11-Cardumen,False,False,False,False,1
patch2-Time-11-JGenProg2017,False,False,False,False,1
patch2-Time-11-jKali,False,False,False,False,1
patch2-Time-11-jMutRepair,False,False,False,False,1
patch3-Time-11-Arja-plausible,False,False,False,False,1
patch3-Time-11-Cardumen,False,False,False,False,1
patch3-Time-11-JGenProg2017,False,False,False,False,1
patch3-Time-11-jKali,False,False,False,False,1
patch3-Time-11-jMutRepair,False,False,False,False,1
patch4-Time-11-Arja-plausible,False,False,False,False,1
patch4-Time-11-Cardumen,False,False,False,False,1
patch4-Time-11-JGenProg2017,False,False,False,False,1
patch4-Time-11-jKali,False,False,False,False,1
Time-4,0,0,0,17,17
Time-7,2,2,0,2,2
Time-9,0,0,0,1,1
Time-19,1,0,0,0,1
Time-14,1,1,0,0,1
Time-15,0,0,0,3,3
Time-17,0,0,0,5,5
Time-18,0,0,0,1,1
Time-11,0,0,0,0,21
ALL,4,3,0,29,52
