patch,no-diff,same-length,content-diff,length-diff,with-diff,cnt
patch1-Time-11-Arja-plausible,False,False,False,False,False,1
patch1-Time-11-Cardumen,True,True,True,True,True,1
patch1-Time-11-Elixir-plausible,False,False,False,False,False,1
patch1-Time-11-JGenProg2017,True,True,True,True,True,1
patch1-Time-11-jKali,False,False,False,False,False,1
patch1-Time-11-jMutRepair,False,False,False,False,False,1
patch1-Time-11-Nopol2015-plausible,True,True,True,True,True,1
patch1-Time-14-Arja-plausible,False,False,False,True,True,1
patch1-Time-15-ACS,True,False,False,True,True,1
patch1-Time-15-Arja,False,False,False,True,True,1
patch1-Time-15-Elixir,True,False,False,True,True,1
patch1-Time-17-Cardumen,False,False,False,True,True,1
patch1-Time-18-Cardumen,False,False,False,True,True,1
patch1-Time-19-SOFix,False,False,False,True,True,1
patch1-Time-7-Cardumen,False,False,False,True,True,1
patch1-Time-7-SimFix,False,False,False,True,True,1
patch1-Time-9-Cardumen,False,False,False,True,True,1
patch2-Time-11-Arja-plausible,True,True,True,True,True,1
patch2-Time-11-Cardumen,False,False,False,False,False,1
patch2-Time-11-JGenProg2017,False,False,False,False,False,1
patch2-Time-11-jKali,False,False,False,False,False,1
patch2-Time-11-jMutRepair,False,False,False,False,False,1
patch2-Time-17-Cardumen,False,False,False,True,True,1
patch3-Time-11-Arja-plausible,False,False,False,False,False,1
patch3-Time-11-Cardumen,False,False,False,False,False,1
patch3-Time-11-JGenProg2017,False,False,False,False,False,1
patch3-Time-11-jKali,False,False,False,False,False,1
patch3-Time-11-jMutRepair,False,False,False,False,False,1
patch3-Time-17-Cardumen,False,False,False,True,True,1
patch3-Time-4-Cardumen,False,False,False,False,False,1
patch3-Time-4-JGenProg2017,False,False,False,False,False,1
patch4-Time-11-Arja-plausible,False,False,False,False,False,1
patch4-Time-11-Cardumen,False,False,False,False,False,1
patch4-Time-11-JGenProg2017,False,False,False,False,False,1
patch4-Time-11-jKali,False,False,False,False,False,1
patch4-Time-11-jMutRepair,False,False,False,False,False,1
patch4-Time-17-Cardumen,False,False,False,True,True,1
patch4-Time-4-Arja-plausible,False,False,False,False,False,1
patch4-Time-4-Cardumen,False,False,False,False,False,1
patch4-Time-4-JGenProg2017,False,False,False,False,False,1
patch5-Time-11-Cardumen,False,False,False,False,False,1
patch5-Time-11-JGenProg2017,True,True,True,True,True,1
patch5-Time-11-jKali,False,False,False,False,False,1
patch5-Time-11-jMutRepair,False,False,False,False,False,1
patch5-Time-4-Arja-plausible,False,False,False,False,False,1
patch5-Time-4-Cardumen,False,False,False,False,False,1
patch5-Time-4-JGenProg2017,False,False,False,False,False,1
patch6-Time-11-Arja-plausible,True,True,True,True,True,1
patch6-Time-4-Arja-plausible,False,False,False,False,False,1
patch7-Time-11-Arja-plausible,False,False,False,False,False,1
patch7-Time-4-Arja-plausible,False,False,False,False,False,1
patch1-Time-4-Cardumen,False,False,False,False,False,1
patch1-Time-4-JGenProg2015-plausible,False,False,False,False,False,1
patch2-Time-4-Arja-plausible,False,False,False,False,False,1
patch2-Time-4-Cardumen,False,False,False,False,False,1
patch2-Time-4-JGenProg2017,False,False,False,False,False,1
patch5-Time-11-Arja-plausible,True,True,True,True,True,1
patch5-Time-17-Cardumen,False,False,False,True,True,1
patch1-Time-4-JGenProg2017,False,False,False,False,False,1
patch1-Time-4-Elixir,True,True,False,True,True,1
patch10-Math-20-Arja-plausible,False,False,False,False,False,1
patch10-Math-20-Arja-plausible,False,False,False,False,False,1
patch10-Math-28-Arja-plausible,True,True,True,True,True,1
patch10-Math-80-Arja-plausible,True,False,False,True,True,1
patch10-Math-85-SequenceR,False,False,False,False,False,1
patch11-Math-20-Arja-plausible,False,False,False,False,False,1
patch11-Math-28-Arja-plausible,True,True,True,True,True,1
patch11-Math-80-Arja-plausible,True,False,False,True,True,1
patch11-Math-85-SequenceR,False,False,False,False,False,1
patch12-Math-80-Arja-plausible,True,False,False,True,True,1
patch12-Math-85-SequenceR,False,False,False,False,False,1
patch13-Math-80-Arja-plausible,True,False,False,True,True,1
patch13-Math-85-SequenceR,False,False,False,False,False,1
patch14-Math-80-Arja-plausible,True,False,False,True,True,1
patch14-Math-85-SequenceR,False,False,False,False,False,1
patch15-Math-80-Arja-plausible,True,False,False,True,True,1
patch15-Math-85-SequenceR,False,False,False,False,False,1
patch16-Math-85-SequenceR,False,False,False,False,False,1
patch17-Math-85-SequenceR,False,False,False,False,False,1
patch1-Math-18-Cardumen,True,True,False,True,True,1
patch4-Math-18-Cardumen,True,True,False,True,True,1
patch4-Math-20-Cardumen,False,False,False,False,False,1
patch4-Math-20-JGenProg2017,False,False,False,False,False,1
patch4-Math-28-Arja-plausible,True,True,True,True,True,1
patch4-Math-28-Cardumen,True,True,True,True,True,1
patch4-Math-28-JGenProg2017,True,True,True,True,True,1
patch4-Math-28-jKali,True,True,True,True,True,1
patch4-Math-28-jMutRepair,True,True,True,True,True,1
patch4-Math-2-Cardumen,True,False,True,True,True,1
patch4-Math-2-JGenProg2017,True,False,True,False,True,1
patch4-Math-2-jMutRepair,True,False,True,False,True,1
patch4-Math-30-Cardumen,True,False,False,True,True,1
patch4-Math-31-Arja-plausible,True,False,False,False,False,1
patch4-Math-46-Cardumen,True,True,False,False,False,1
patch4-Math-49-Arja-plausible,True,False,False,True,True,1
patch4-Math-49-Cardumen,True,False,False,True,True,1
patch4-Math-49-JGenProg2017,True,False,False,True,True,1
patch4-Math-5-Cardumen,True,True,True,True,True,1
patch4-Math-63-CapGen-plausible,False,False,False,False,False,1
patch4-Math-63-Cardumen,False,False,False,False,False,1
patch4-Math-70-Cardumen,False,False,False,False,False,1
patch4-Math-73-Cardumen,True,True,False,False,False,1
patch4-Math-73-JGenProg2017,True,True,False,False,False,1
patch4-Math-74-JGenProg2017,True,True,True,True,True,1
patch4-Math-78-Cardumen,True,True,True,True,True,1
patch4-Math-78-JGenProg2017,True,True,True,True,True,1
patch4-Math-79-Cardumen,True,False,False,True,True,1
patch4-Math-80-Arja-plausible,True,False,False,True,True,1
patch4-Math-80-CapGen-plausible,True,False,False,True,True,1
patch4-Math-80-Cardumen,True,False,False,True,True,1
patch4-Math-80-JGenProg2017,True,False,False,True,True,1
patch4-Math-80-jKali,True,True,False,True,True,1
patch4-Math-85-Cardumen,False,False,False,False,False,1
patch4-Math-85-Jaid-plausible,False,False,False,False,False,1
patch4-Math-85-JGenProg2017,False,False,False,False,False,1
patch4-Math-85-SequenceR,False,False,False,False,False,1
patch4-Math-8-Arja-plausible,True,True,False,True,True,1
patch4-Math-8-Cardumen,True,True,False,True,True,1
patch5-Math-20-Arja-plausible,False,False,False,False,False,1
