patch,no-diff,same-length,content-diff,length-diff,with-diff,cnt
patch1-Time-11-Arja-plausible,False,False,False,False,False,1
patch1-Time-11-Cardumen,True,True,True,True,True,1
patch1-Time-11-Elixir-plausible,False,False,False,False,False,1
patch1-Time-11-JGenProg2017,True,True,True,True,True,1
patch1-Time-11-jKali,False,False,False,False,False,1
patch1-Time-11-jMutRepair,False,False,False,False,False,1
patch1-Time-11-Nopol2015-plausible,True,True,True,True,True,1
patch1-Time-14-Arja-plausible,False,False,False,True,True,1
patch1-Time-15-ACS,True,False,False,True,True,1
patch1-Time-15-Arja,False,False,False,True,True,1
patch1-Time-15-Elixir,True,False,False,True,True,1
patch1-Time-17-Cardumen,False,False,False,True,True,1
patch1-Time-18-Cardumen,False,False,False,True,True,1
patch1-Time-19-SOFix,False,False,False,True,True,1
patch1-Time-7-Cardumen,False,False,False,True,True,1
patch1-Time-7-SimFix,False,False,False,True,True,1
patch1-Time-9-Cardumen,False,False,False,True,True,1
patch2-Time-11-Arja-plausible,True,True,True,True,True,1
patch2-Time-11-Cardumen,False,False,False,False,False,1
patch2-Time-11-JGenProg2017,False,False,False,False,False,1
patch2-Time-11-jKali,False,False,False,False,False,1
patch2-Time-11-jMutRepair,False,False,False,False,False,1
patch2-Time-17-Cardumen,False,False,False,True,True,1
patch3-Time-11-Arja-plausible,False,False,False,False,False,1
patch3-Time-11-Cardumen,False,False,False,False,False,1
patch3-Time-11-JGenProg2017,False,False,False,False,False,1
patch3-Time-11-jKali,False,False,False,False,False,1
patch3-Time-11-jMutRepair,False,False,False,False,False,1
patch3-Time-17-Cardumen,False,False,False,True,True,1
patch3-Time-4-Cardumen,False,False,False,False,False,1
patch3-Time-4-JGenProg2017,False,False,False,False,False,1
patch4-Time-11-Arja-plausible,False,False,False,False,False,1
patch4-Time-11-Cardumen,False,False,False,False,False,1
patch4-Time-11-JGenProg2017,False,False,False,False,False,1
patch4-Time-11-jKali,False,False,False,False,False,1
patch4-Time-11-jMutRepair,False,False,False,False,False,1
patch4-Time-17-Cardumen,False,False,False,True,True,1
patch4-Time-4-Arja-plausible,False,False,False,False,False,1
patch4-Time-4-Cardumen,False,False,False,False,False,1
patch4-Time-4-JGenProg2017,False,False,False,False,False,1
patch5-Time-11-Cardumen,False,False,False,False,False,1
patch5-Time-11-JGenProg2017,True,True,True,True,True,1
patch5-Time-11-jKali,False,False,False,False,False,1
patch5-Time-11-jMutRepair,False,False,False,False,False,1
patch5-Time-4-Arja-plausible,False,False,False,False,False,1
patch5-Time-4-Cardumen,False,False,False,False,False,1
patch5-Time-4-JGenProg2017,False,False,False,False,False,1
patch6-Time-11-Arja-plausible,True,True,True,True,True,1
patch6-Time-4-Arja-plausible,False,False,False,False,False,1
patch7-Time-11-Arja-plausible,False,False,False,False,False,1
patch7-Time-4-Arja-plausible,False,False,False,False,False,1
patch1-Time-4-Cardumen,False,False,False,False,False,1
patch1-Time-4-JGenProg2015-plausible,False,False,False,False,False,1
patch2-Time-4-Arja-plausible,False,False,False,False,False,1
patch2-Time-4-Cardumen,False,False,False,False,False,1
patch2-Time-4-JGenProg2017,False,False,False,False,False,1
patch5-Time-11-Arja-plausible,True,True,True,True,True,1
patch5-Time-17-Cardumen,False,False,False,True,True,1
patch1-Time-4-JGenProg2017,False,False,False,False,False,1
patch1-Time-4-Elixir,True,True,False,True,True,1
Time-11,7,7,7,7,7,29
Time-14,0,0,0,1,1,1
Time-15,2,0,0,3,3,3
Time-17,0,0,0,5,5,5
Time-18,0,0,0,1,1,1
Time-19,0,0,0,1,1,1
Time-7,0,0,0,2,2,2
Time-9,0,0,0,1,1,1
Time-4,1,1,0,1,1,17
ALL,10,8,7,22,22,60
